episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table5_exactTopB150_repl_H_only_s110,dependency_sensitive,H_only,110,0,0,0,1,0.0,-18.83,-18.83,medium,0.457,28.029999999999998,-18.83,9.2,partially_reversible,strong,direct,risky_patch,0.5025,0.457,0.5025,0.22964249999999997,2,0.75,0,0.5025,8.03,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5025, verify=False"
revision_table5_exactTopB150_repl_H_only_s111,dependency_sensitive,H_only,111,0,0,1,0,0.0,9.2,9.2,medium,0.409,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5025,0.409,0.5025,0.20552249999999997,2,0.75,0,0.5025,8.03,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5025, verify=False"
revision_table5_exactTopB150_repl_H_only_s113,dependency_sensitive,H_only,113,0,0,1,0,0.0,9.2,9.2,high,0.73,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.4325,0.73,0.4325,0.315725,1,0.75,0,0.4325,7.19,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4325, verify=False"
revision_table5_exactTopB150_repl_H_only_s115,dependency_sensitive,H_only,115,0,0,1,0,0.0,5.6,5.6,medium,0.666,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.5275,0.666,0.5275,0.351315,2,0.25,1,0.5275,8.33,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5275, verify=False"
revision_table5_exactTopB150_repl_H_only_s116,dependency_sensitive,H_only,116,0,0,1,0,0.0,9.2,9.2,medium,0.43,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.4575,0.43,0.4575,0.196725,1,0.25,1,0.4575,7.49,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4575, verify=False"
revision_table5_exactTopB150_repl_H_only_s118,dependency_sensitive,H_only,118,0,0,1,0,0.0,9.2,9.2,low,0.398,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.615,0.398,0.615,0.24477000000000002,2,0.5,1,0.615,9.38,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6150, verify=False"
revision_table5_exactTopB150_repl_H_only_s119,dependency_sensitive,H_only,119,0,0,1,0,0.0,9.2,9.2,low,0.391,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5375,0.391,0.5375,0.2101625,5,0.25,0,0.5375,8.45,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5375, verify=False"
revision_table5_exactTopB150_repl_H_only_s121,dependency_sensitive,H_only,121,0,0,0,1,0.0,-17.57,-17.57,medium,0.527,26.77,-17.57,9.2,partially_reversible,strong,direct,risky_patch,0.3975,0.527,0.3975,0.20948250000000002,3,0.25,0,0.3975,6.77,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3975, verify=False"
revision_table5_exactTopB150_repl_H_only_s127,dependency_sensitive,H_only,127,0,0,1,0,0.0,9.2,9.2,low,0.315,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.6325,0.315,0.6325,0.19923749999999998,1,0.75,1,0.6325,9.59,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6325, verify=False"
revision_table5_exactTopB150_repl_H_only_s133,dependency_sensitive,H_only,133,0,0,1,0,0.0,5.6,5.6,medium,0.476,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.3975,0.476,0.3975,0.18921,3,0.25,0,0.3975,6.77,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3975, verify=False"
revision_table5_exactTopB150_repl_H_only_s134,dependency_sensitive,H_only,134,0,0,1,0,0.0,9.2,9.2,medium,0.408,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.59,0.408,0.59,0.24071999999999996,2,1.0,0,0.59,9.08,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5900, verify=False"
revision_table5_exactTopB150_repl_H_only_s135,dependency_sensitive,H_only,135,0,0,0,1,0.0,-16.73,-16.73,high,0.742,25.93,-16.73,9.2,partially_reversible,strong,direct,risky_patch,0.3275,0.742,0.3275,0.243005,2,0.25,0,0.3275,5.93,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3275, verify=False"
revision_table5_exactTopB150_repl_H_only_s136,dependency_sensitive,H_only,136,0,0,0,1,0.0,-17.57,-17.57,low,0.231,26.77,-17.57,9.2,partially_reversible,strong,direct,risky_patch,0.3975,0.231,0.3975,0.09182250000000002,3,0.25,0,0.3975,6.77,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3975, verify=False"
revision_table5_exactTopB150_repl_H_only_s139,dependency_sensitive,H_only,139,0,0,0,1,0.0,-19.25,-19.25,high,0.772,28.45,-19.25,9.2,partially_reversible,strong,direct,risky_patch,0.5375,0.772,0.5375,0.41495,5,0.25,0,0.5375,8.45,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5375, verify=False"
revision_table5_exactTopB150_repl_H_only_s140,dependency_sensitive,H_only,140,0,0,1,0,0.0,5.6,5.6,medium,0.688,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.59,0.688,0.59,0.40591999999999995,2,1.0,0,0.59,9.08,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5900, verify=False"
revision_table5_exactTopB150_repl_H_only_s141,dependency_sensitive,H_only,141,0,0,1,0,0.0,5.6,5.6,low,0.386,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.4325,0.386,0.4325,0.166945,1,0.75,0,0.4325,7.19,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4325, verify=False"
revision_table5_exactTopB150_repl_H_only_s142,dependency_sensitive,H_only,142,0,0,0,1,0.0,-19.130000000000003,-19.130000000000003,low,0.379,28.330000000000002,-19.130000000000003,9.2,partially_reversible,strong,direct,risky_patch,0.5275,0.379,0.5275,0.1999225,2,0.25,1,0.5275,8.33,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5275, verify=False"
revision_table5_exactTopB150_repl_H_only_s143,dependency_sensitive,H_only,143,0,0,0,1,0.0,-19.04,-19.04,medium,0.45,28.24,-19.04,9.2,partially_reversible,strong,direct,risky_patch,0.52,0.45,0.52,0.234,1,1.0,0,0.52,8.24,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5200, verify=False"
revision_table5_exactTopB150_repl_H_only_s144,dependency_sensitive,H_only,144,0,0,0,1,0.0,-16.94,-16.94,low,0.36,26.14,-16.94,9.2,partially_reversible,strong,direct,risky_patch,0.345,0.36,0.345,0.12419999999999999,1,0.5,0,0.345,6.14,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3450, verify=False"
revision_table5_exactTopB150_repl_H_only_s158,dependency_sensitive,H_only,158,0,0,1,0,0.0,9.2,9.2,low,0.379,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5975,0.379,0.5975,0.2264525,3,0.25,1,0.5975,9.17,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5975, verify=False"
revision_table5_exactTopB150_repl_H_only_s159,dependency_sensitive,H_only,159,0,0,1,0,0.0,5.6,5.6,high,0.737,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.5975,0.737,0.5975,0.4403575,3,0.25,1,0.5975,9.17,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5975, verify=False"
revision_table5_exactTopB150_repl_H_only_s161,dependency_sensitive,H_only,161,0,0,1,0,0.0,9.2,9.2,medium,0.48,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5275,0.48,0.5275,0.2532,2,0.25,1,0.5275,8.33,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5275, verify=False"
revision_table5_exactTopB150_repl_H_only_s163,dependency_sensitive,H_only,163,0,0,1,0,0.0,9.2,9.2,medium,0.697,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.345,0.697,0.345,0.24046499999999996,1,0.5,0,0.345,6.14,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3450, verify=False"
revision_table5_exactTopB150_repl_H_only_s167,dependency_sensitive,H_only,167,0,0,1,0,0.0,9.2,9.2,low,0.243,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5375,0.243,0.5375,0.1306125,5,0.25,0,0.5375,8.45,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5375, verify=False"
revision_table5_exactTopB150_repl_H_only_s170,dependency_sensitive,H_only,170,0,0,0,1,0.0,-19.34,-19.34,medium,0.516,28.54,-19.34,9.2,partially_reversible,strong,direct,risky_patch,0.545,0.516,0.545,0.28122,1,0.5,1,0.545,8.54,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5450, verify=False"
revision_table5_exactTopB150_repl_H_only_s172,dependency_sensitive,H_only,172,0,0,1,0,0.0,9.2,9.2,low,0.324,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5025,0.324,0.5025,0.16280999999999998,2,0.75,0,0.5025,8.03,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5025, verify=False"
revision_table5_exactTopB150_repl_H_only_s174,dependency_sensitive,H_only,174,0,0,0,1,0.0,-18.62,-18.62,low,0.326,27.82,-18.62,9.2,partially_reversible,strong,direct,risky_patch,0.485,0.326,0.485,0.15811,3,0.5,0,0.485,7.82,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4850, verify=False"
revision_table5_exactTopB150_repl_H_only_s175,dependency_sensitive,H_only,175,0,0,1,0,0.0,5.6,5.6,high,0.765,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.3275,0.765,0.3275,0.2505375,2,0.25,0,0.3275,5.93,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3275, verify=False"
revision_table5_exactTopB150_repl_H_only_s176,dependency_sensitive,H_only,176,0,0,0,1,0.0,-20.18,-20.18,medium,0.645,29.38,-20.18,9.2,partially_reversible,strong,direct,risky_patch,0.615,0.645,0.615,0.396675,2,0.5,1,0.615,9.38,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6150, verify=False"
revision_table5_exactTopB150_repl_H_only_s181,dependency_sensitive,H_only,181,0,0,0,1,0.0,-17.78,-17.78,low,0.337,26.98,-17.78,9.2,partially_reversible,strong,direct,risky_patch,0.415,0.337,0.415,0.139855,2,0.5,0,0.415,6.98,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4150, verify=False"
revision_table5_exactTopB150_repl_H_only_s185,dependency_sensitive,H_only,185,0,0,1,0,0.0,9.2,9.2,low,0.326,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5375,0.326,0.5375,0.175225,5,0.25,0,0.5375,8.45,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5375, verify=False"
