episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table5_ablation_dep300_dep_s111_pH,dependency_sensitive,p_times_H,111,0,0,1,0,0.0,9.2,9.2,medium,0.409,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.20552249999999997,0.409,0.5025,0.20552249999999997,2,0.75,0,0.5025,8.03,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.2055, verify=False"
revision_table5_ablation_dep300_dep_s112_p_only,dependency_sensitive,p_only,112,1,1,1,0,0.5,9.2,9.2,medium,0.696,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.696,0.696,0.7725,0.5376599999999999,3,0.75,1,0.7725,11.27,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.6960, verify=True"
revision_table5_ablation_dep300_dep_s112_H_only,dependency_sensitive,H_only,112,1,1,1,0,0.5,9.2,9.2,medium,0.696,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.7725,0.696,0.7725,0.5376599999999999,3,0.75,1,0.7725,11.27,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.7725, verify=True"
revision_table5_ablation_dep300_dep_s112_pH,dependency_sensitive,p_times_H,112,1,1,1,0,0.5,9.2,9.2,medium,0.696,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.5376599999999999,0.696,0.7725,0.5376599999999999,3,0.75,1,0.7725,11.27,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.5377, verify=True"
revision_table5_ablation_dep300_dep_s113_p_only,dependency_sensitive,p_only,113,1,0,1,0,0.5,9.2,9.2,high,0.73,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.73,0.73,0.4325,0.315725,1,0.75,0,0.4325,7.19,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.7300, verify=True"
revision_table5_ablation_dep300_dep_s113_H_only,dependency_sensitive,H_only,113,1,0,1,0,0.5,9.2,9.2,high,0.73,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.4325,0.73,0.4325,0.315725,1,0.75,0,0.4325,7.19,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.4325, verify=True"
revision_table5_ablation_dep300_dep_s113_pH,dependency_sensitive,p_times_H,113,1,0,1,0,0.5,9.2,9.2,high,0.73,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.315725,0.73,0.4325,0.315725,1,0.75,0,0.4325,7.19,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.3157, verify=True"
revision_table5_ablation_dep300_dep_s114_p_only,dependency_sensitive,p_only,114,1,1,1,0,0.5,9.2,9.2,medium,0.562,30.64,-21.44,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.562,0.562,0.72,0.40464,1,1.0,1,0.72,10.64,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.5620, verify=True"
revision_table5_ablation_dep300_dep_s114_H_only,dependency_sensitive,H_only,114,1,1,1,0,0.5,9.2,9.2,medium,0.562,30.64,-21.44,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.72,0.562,0.72,0.40464,1,1.0,1,0.72,10.64,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.7200, verify=True"
revision_table5_ablation_dep300_dep_s114_pH,dependency_sensitive,p_times_H,114,1,1,1,0,0.5,9.2,9.2,medium,0.562,30.64,-21.44,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.40464,0.562,0.72,0.40464,1,1.0,1,0.72,10.64,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.4046, verify=True"
